2011/3/25,Grizzlies,,Rudy Gay,surgery to repair partially dislocated left shoulder (out for season)
2011/3/30,Kings,,Marquis Daniels,surgery on back (out for season)
2011/3/31,Bobcats,,Joel Przybilla,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate)
2011/4/7,Warriors,,Acie Law,surgery on right wrist to remove bone spur (out for season)
2011/4/8,Knicks,,Andy Rautins,surgery on knee (date approximate)
2011/4/11,Nets,,Deron Williams,surgery on right wrist to remove bone fragments and scar tissue (out for season)
2011/4/12,Bucks,,Andrew Bogut,arthroscopic surgery on right elbow to remove loose particles and scar tissue (out for season)
2011/4/12,Hornets,,David West,surgery on left knee to repair torn ACL (out for season)
2011/4/12,Lakers,,Andrew Bynum,hyperextended right knee (left game)
2011/4/16,Cavaliers,,Ramon Sessions,surgery to repair hernia (out indefinitely)
2011/4/16,Cavaliers,,Samardo Samuels,surgery on right wrist (out indefinitely)
2011/4/16,Cavaliers,,Semih Erden,surgery to repair separated left shoulder (out indefinitely)
2011/4/18,Rockets,,Luis Scola,arthroscopic surgery on left knee (out indefinitely)
2011/5/4,Knicks,,Toney Douglas,surgery on right shoulder to repair torn labrum (out indefinitely)
2011/5/4,Nets,,Brook Lopez,surgery on upper right arm to remove bone mass and calcium deposit (out indefinitely)
2011/5/10,Bobcats,,Gerald Henderson (b),surgery on left hip to repair torn labrum (out indefinitely)
2011/5/25,Bulls,,Omer Asik,stress fracture in left fibula (out for season)
2011/5/25,Warriors,,Stephen Curry,surgery on right ankle (out indefinitely)
2011/6/3,Raptors,,Amir Johnson,surgery on left ankle (out indefinitely)
2011/6/8,Hawks,,Marvin Williams,surgery on back to repair bulging disc (out indefinitely)
2011/6/15,Kings,,Jason Thompson,fractured right big toe (out for season)
2011/6/27,Mavericks,,Rodrigue Beaubois,surgery on left foot (out indefinitely)
2011/9/28,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
2011/10/7,Clippers,,Eric Bledsoe,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011/12/1,Heat,,Mike Miller,surgery to repair hernia (out indefinitely) (date approximate)
2011/12/12,Spurs,,Gary Neal,appendectomy (out indefinitely)
2011/12/14,Lakers,,Derrick Caracter,surgery on left knee to repair torn menuscus (out indefinitely)
2011/12/16,Bobcats,,Eduardo Najera,surgery on left knee to repair torn cartilage (out indefinitely)
2011/12/16,Bobcats,,Reggie Williams,torn meniscus in left knee (out indefinitely)
2011/12/17,Celtics,,Jeff Green,surgery on heart to repair aortic aneurysm (out for season)
2011/12/20,Grizzlies,,Darrell Arthur,ruptured right Achilles tendon (out for season)
2011/12/22,Nets,,Brook Lopez,surgery on right foot to repair stress fracture (out indefinitely)
2011/12/25,Blazers,,Greg Oden,surgery on left knee (out indefinitely)
2011/12/25,Bobcats,,Reggie Williams,surrgery on left knee to repair torn meniscus (out indefinitely)
2011/12/25,Cavaliers,,Semih Erden,left thumb injury (out indefinitely)
2011/12/25,Grizzlies,,Xavier Henry,right ankle injury (out indefinitely)
2011/12/25,Hawks,,Kirk Hinrich,surgery on left shoulder (out indefinitely)
2011/12/25,Hornets,,DaJuan Summers,hyperextended right knee (out indefinitely)
2011/12/25,Knicks,,Iman Shumpert,sprained MCL in right knee (out indefinitely)
2011/12/25,Raptors,,Linas Kleiza,recovering from microfracture surgery on right knee to repair cartilage damage (out indefinitely)
2011/12/25,Timberwolves,,Brad Miller,surgery on left knee (out indefinitely)
2011/12/25,Clippers,,Eric Bledsoe,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2012/1/2,Spurs,,Emanuel Ginobili / Manu Ginobili,broken bone in left hand (out indefinitely)
2012/1/4,Thunder,,Ryan Reid,surgery to repair broken nose (out indefinitely)
2012/1/6,Kings,,Chuck Hayes,dislocated left shoulder (out indefinitely)
2012/1/7,Timberwolves,,Michael Beasley,sprained right foot (out indefinitely)
2012/1/17,Hawks,,Al Horford,surgery to repair torn left pectoral muscle (out for season)
2012/1/18,Thunder,,Eric Maynor,surgery on right knee to repair torn ACL (out for season)
2012/1/19,Warriors,,Kwame Brown,surgery to repair torn pectoralis major muscle in chest
2012/1/24,Nets,,Damion James,surgery on right foot to replace previously inserted screw (out for season)
2012/1/26,Bucks,,Andrew Bogut,fractured left ankle (out indefinitely)
2012/1/30,Nets,,MarShon Brooks,fractured right little toe (out indefinitely)
2012/2/2,Bobcats,,Gerald Henderson (b),strained right hamstring (out indefinitely)
2012/2/3,Blazers,,Greg Oden,surgery on right knee to remove debris (out indefinitely)
2012/2/7,Clippers,,Chauncey Billups,torn left Achilles tendon (out for season)
2012/2/7,Knicks,,Carmelo Anthony,strained right groin (out indefinitely)
2012/2/7,Nuggets,,Danilo Gallinari,chip fracture in left ankle (out indefinitely)
2012/2/9,Nets,,Keith Bogans,fractured left ankle / torn ligament in left ankle (out for season)
2012/2/14,Clippers,,Chauncey Billups,surgery to repair torn left Achilles tendon (out for season)
2012/2/17,Mavericks,,Delonte West,surgery on broken right ring finger to insert pins (out indefinitely)
2012/2/20,Blazers,,Greg Oden,microfracture surgery on left knee (out indefinitely)
2012/2/22,Nets,,Shawne Williams,surgery on left foot to remove bone fragment (out for season)
2012/3/9,Timberwolves,,Ricky Rubio,torn ACL in left knee (out for season)
2012/3/19,Hawks,,Jannero Pargo,appendectomy (out indefinitely)
2012/3/21,Blazers,,Elliot Williams,surgery on left shoulder (out for season) (date approximate)
2012/3/21,Timberwolves,,Ricky Rubio,surgery on left knee to repair torn ACL
2012/3/27,Raptors,,Jerryd Bayless,partially torn left oblique muscle (out for season)
2012/3/29,Nuggets,,Rudy Fernandez,surgery on lower back (out for season)
2012/3/30,Celtics,,Jermaine O'Neal,arthroscopic surgery on left wrist (out for season)
2012/3/30,Suns,,Grant Hill,surgery on right knee to repair torn meniscus
2012/4/2,Cavaliers,,Daniel Gibson,surgery on left foot and ankle to repair torn tendon
2012/4/2,Knicks,,Jeremy Lin,surgery on left knee to repair torn meniscus (out for season)
2012/4/6,Magic,,Hidayet Turkoglu / Hedo Turkoglu,surgery to repair facial fracture (out for season)
2012/4/12,Blazers,,LaMarcus Aldridge,surgery on right hip to repair torn labrum (out for season) (date approximate)
2012/4/16,Wizards,,Roger Mason Jr.,surgery on broken left index finger (out for season)
2012/4/18,Warriors,,Nate Robinson,hamstring injury (out for season)
2012/4/20,Magic,,Dwight Howard,surgery on back to repair herniated disc (out for season)
2012/4/21,Warriors,,Andrew Bogut,surgery on left ankle to clean out fragments and scar tissue (date approximate)
2012/4/22,Rockets,,Kyle Lowry,hernia (out for season)
2012/4/25,Warriors,,Stephen Curry,arthroscopic surgery on right ankle (out for season)
2012/4/26,Heat,,Chris Bosh,placed on IL with leg muscle fatigue
2012/4/26,Warriors,,David Lee,surgery to repair torn abdominal muscle (out for season)
2012/4/28,Bulls,,Derrick Rose,torn ACL in left knee (out for season)
2012/4/28,Knicks,,Iman Shumpert,torn lateral meniscus / ACL (CBC) in left knee (out for season)
2012/4/29,Clippers,,Caron Butler,fractured metacarpal bone in left hand (out for season)
2012/4/30,Nuggets,,Wilson Chandler,surgery on left hip to repair torn labrum (out for season)
